Milliseconds,X,Y,Z
6592,5.2806244,7.6724243,0.86079407
6601,5.2566833,7.706009,0.8560333
6611,5.3667297,7.8307343,0.7657318
6621,5.5294037,7.984253,0.7514801
6631,5.601166,8.046631,0.7419739
6641,5.7303467,8.104202,0.69918823
6652,5.8069,8.075409,0.6754303
6661,5.8547363,8.013046,0.6564331
6671,5.8834534,8.051422,0.703949
6681,5.8499603,8.104202,0.77523804
6692,5.840378,8.113785,0.8180084
6701,5.9169464,8.137772,0.81326294
6711,5.969574,8.243332,0.8465271
6721,6.012619,8.416046,0.82751465
6732,6.031769,8.516785,0.8180084
6741,6.079605,8.507187,0.8037567
6751,6.1944275,8.454422,0.7799988
6761,6.275772,8.4640045,0.86079407
6771,6.333191,8.603149,0.8465271
6781,6.3666687,8.727875,0.86079407
6792,6.3236084,8.982162,0.7942505
6801,6.4480133,9.255615,0.5708771
6812,6.4958496,9.452316,0.49006653
6821,6.543686,9.548264,0.43304443
6832,6.6632996,9.893692,0.57562256
6842,6.840332,10.248718,0.7942505
6851,6.8977356,10.411819,1.174469
6861,6.7637787,10.613327,1.6782532
6871,6.5963135,10.690079,2.1820374
6881,6.9934387,11.006714,2.2913513
6892,7.065201,11.505661,2.2295685
6901,7.1273804,12.119751,2.0869904
6912,7.1560974,12.714645,2.210556
6921,7.3522644,13.04567,2.1677856
6931,7.467087,13.371902,1.7257843
6942,7.3570557,13.563812,1.3360596
6951,6.97908,13.419876,0.7229614
6961,6.6489563,13.04567,0.21916199
6971,6.4910583,12.594711,-0.2751007
6982,6.30925,12.018997,-0.31788635
6992,6.041336,11.198624,-0.15153503
7002,5.5246277,10.157562,-0.004196167
7011,4.840439,8.972549,0.03855896
7022,4.1945496,7.8211517,0.14788818
7031,2.7831573,6.3962708,0.17164612
7041,0.20436096,4.8082886,-0.46046448
7051,-2.9150696,0.95106506,-4.1105347
7061,-5.4508057,-2.9061737,-7.004944
7071,-7.4076233,-7.9579926,-7.128525
7082,-7.259308,-13.292862,-2.7274933
7091,-6.8717804,-17.389969,4.1021423
7101,-7.6085663,-20.522781,11.811035
